"Action","Aktion"
"Active","Aktiv"
"Add new FAQ item","Neuen FAQ-Eintrag anlegen"
"New FAQ item","Neuer FAQ-Eintrag"
"FAQ Item was successfully saved","FAQ-Eintrag wurde erfolgreich gespeichert"
"Answer","Antwort"
"Delete FAQ item","FAQ-Eintrag löschen"
"Disabled","Deaktiviert"
"Display all FAQ items","Alle FAQ-Einträge anzeigen"
"Edit","Bearbeiten"
"Edit FAQ item '%s'","FAQ-Eintrag '%s' bearbeiten"
"Enabled","Aktiviert"
"General information","Allgemeine Informationen"
"FAQ","FAQ"
"FAQ #","Lfd. Nr."
"FAQ item information","FAQ-Eintragsinformationen"
"FAQ item question","Frage des FAQ-Eintrags"
"FAQ overview","FAQ-Übersicht"
"HTML answer","HTML Antwort"
"Images","Bilder"
"No","Nein"
"of %s pages","von %d Seiten"
"Page","Seite"
"Page status","Seitenstatus"
"per page","pro Seite"
"Publication date","Veröffentlichungsdatum"
"Published on","Veröffentlichungsdatum"
"Save and continue edit","Speichern unter weiter bearbeiten"
"Save FAQ item","FAQ-Eintrag speichern"
"Status","Status"
"Store view","StoreView"
"There are no FAQ items at the moment.","Zur Zeit sind keine FAQ-Einträge verfügbar."
"Question","Frage"
"Total %d records found","Insgesamt %s Datensätze gefunden"
"View","Zeige"
"Yes","Ja"
"Back to the FAQ overview", "Zurück zur FAQ-Übersicht"
