"Action","Aktion"
"Active","Aktiv"
"Add New FAQ Category","Neue FAQ-Kategorie hinzufügen"
"Add New FAQ Item","Neuen FAQ-Eintrag hinzufügen"
"All Store Views","Alle StoreViews"
"Answer","Antwort"
"Back","Zurück"
"Back to the FAQ overview", "Zurück zur FAQ-Übersicht"
"Category","Kategorie"
"Category #","Lfd. Nr."
"Category Information","Kategorieinformation"
"Category Name","Kategoriename"
"Content","Inhalt"
"Delete FAQ item","FAQ-Eintrag löschen"
"Disabled","Deaktiviert"
"Display all FAQ items","Alle FAQ-Einträge anzeigen"
"Edit","Bearbeiten"
"Edit FAQ item '%s'","FAQ-Eintrag '%s' bearbeiten"
"Enabled","Aktiviert"
"FAQ Item was successfully saved","FAQ-Eintrag wurde erfolgreich gespeichert"
"FAQ","FAQ"
"FAQ #","Lfd. Nr."
"FAQ item information","FAQ-Eintragsinformationen"
"FAQ item question","Frage des FAQ-Eintrags"
"FAQ overview","FAQ-Übersicht"
"General information","Allgemeine Informationen"
"HTML answer","HTML Antwort"
"Images","Bilder"
"Manage Categories","Kategorien verwalten"
"Manage FAQ Categories","FAQ-Kategorien verwalten"
"Manage FAQ Items","FAQ-Einträge verwalten"
"Manage Items","Einträge verwalten"
"New FAQ Category","Neue FAQ-Kategorie"
"New FAQ item","Neuer FAQ-Eintrag"
"No","Nein"
"No records found.","Keine Einträge gefunden."
"of %s pages","von %d Seiten"
"Page","Seite"
"Page status","Seitenstatus"
"per page","pro Seite"
"Publication date","Veröffentlichungsdatum"
"Published on","Veröffentlichungsdatum"
"Reset","Zurücksetzen"
"Reset Filter","Filter zurücksetzen"
"Save and continue edit","Speichern und weiter bearbeiten"
"Save FAQ Category","FAQ-Kategorie speichern"
"Save FAQ item","FAQ-Eintrag speichern"
"Search","Suche"
"Status","Status"
"Store view","StoreView"
"There are no FAQ items at the moment.","Zur Zeit sind keine FAQ-Einträge verfügbar."
"Question","Frage"
"Total %d records found","Insgesamt %s Datensätze gefunden"
"View","Zeige"
"Yes","Ja"
